Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
August 2011 First Open Bidding Exercise,3/8/2011,2011,Cat E (Open),360,70117,488,360
July 2011 Second Open Bidding Exercise,20/07/2011,2011,Cat E (Open),335,74490,459,328
July 2011 First Open Bidding Exercise,6/7/2011,2011,Cat E (Open),372,68811,509,342
June 2011 Second Open Bidding Exercise,22/06/2011,2011,Cat E (Open),339,65490,468,334
June 2011 First Open Bidding Exercise,8/6/2011,2011,Cat E (Open),338,62000,530,295
May 2011 Second Open Bidding Exercise,19/05/2011,2011,Cat E (Open),331,56889,470,322
May 2011 First Open Bidding Exercise,5/5/2011,2011,Cat E (Open),330,56490,498,321
April 2011 Second Open Bidding Exercise,20/04/2011,2011,Cat E (Open),330,56001,484,329
April 2011 First Open Bidding Exercise,6/4/2011,2011,Cat E (Open),341,57100,454,340
March 2011 Second Open Bidding Exercise,23/03/2011,2011,Cat E (Open),330,59073,458,330
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat E (Open),336,62010,574,324
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat E (Open),336,62001,558,335
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat E (Open),333,58890,648,326
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat E (Open),319,67009,433,312
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat E (Open),309,75789,475,305
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat E (Open),311,76102,463,302
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat E (Open),313,64900,674,313
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat E (Open),333,49890,634,332
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat E (Open),316,46001,497,312
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat E (Open),311,44900,455,287
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat E (Open),311,44090,518,304
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat E (Open),309,43290,520,307
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat E (Open),310,44001,460,308
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat E (Open),315,43501,583,315
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat E (Open),309,42901,594,308
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat E (Open),363,43565,725,357
